Training reward approximator for kitchen Dataset
saved stats to ./Rewards/Kitchen_Reward/Stats/Kitchen_Reward_stats.pkl
Step 6140, loss -6.2431
Step 6150, loss -6.2164
Step 6160, loss -6.2233
Step 6170, loss -6.2131
Step 6180, loss -6.2363
Step 6190, loss -6.2325
Step 6200, loss -6.1999
reward model save to Kitchen_Reward_6200.pkl
Step 6210, loss -6.2406
Step 6220, loss -6.2293
Step 6230, loss -6.2417
Step 6240, loss -6.2369
Step 6250, loss -6.2300
Step 6260, loss -6.2214
Step 6270, loss -6.2082
Step 6280, loss -6.2720
Step 6290, loss -6.2177
Step 6300, loss -6.2346
reward model save to Kitchen_Reward_6300.pkl
Step 6310, loss -6.2127
Step 6320, loss -6.2576
Step 6330, loss -6.2477
Step 6340, loss -6.2426
Step 6350, loss -6.2527
Step 6360, loss -6.2454
Step 6370, loss -6.2240
Step 6380, loss -6.2662
Step 6390, loss -6.2340
Step 6400, loss -6.2457
reward model save to Kitchen_Reward_6400.pkl
Step 6410, loss -6.2341
Step 6420, loss -6.2256
Step 6430, loss -6.2485
Step 6440, loss -6.2716
Step 6450, loss -6.2405
Step 6460, loss -6.2259
Step 6470, loss -6.2553
Step 6480, loss -6.2392
Step 6490, loss -6.2153
Step 6500, loss -6.2366
reward model save to Kitchen_Reward_6500.pkl
Step 6510, loss -6.2405
Step 6520, loss -6.2290
Step 6530, loss -6.2486
Step 6540, loss -6.2666
Step 6550, loss -6.2341
Step 6560, loss -6.2405
Step 6570, loss -6.2553
Step 6580, loss -6.2291
Step 6590, loss -6.2527
Step 6600, loss -6.2668
reward model save to Kitchen_Reward_6600.pkl
Step 6610, loss -6.2425
Step 6620, loss -6.2443
Step 6630, loss -6.2156
Step 6640, loss -6.2540
Step 6650, loss -6.2871
Step 6660, loss -6.2842
Step 6670, loss -6.2548
Step 6680, loss -6.2801
Step 6690, loss -6.2298
Step 6700, loss -6.2331
reward model save to Kitchen_Reward_6700.pkl
Step 6710, loss -6.2664
Step 6720, loss -6.2305
Step 6730, loss -6.2556
Step 6740, loss -6.2834
Step 6750, loss -6.2631
Step 6760, loss -6.2536
Step 6770, loss -6.2668
Step 6780, loss -6.2584
Step 6790, loss -6.2637
Step 6800, loss -6.2805
reward model save to Kitchen_Reward_6800.pkl
Step 6810, loss -6.2435
Step 6820, loss -6.2899
Step 6830, loss -6.2681
Step 6840, loss -6.2716
Step 6850, loss -6.2682
Step 6860, loss -6.2590
Step 6870, loss -6.2989
Step 6880, loss -6.2728
Step 6890, loss -6.2619
Step 6900, loss -6.2950
reward model save to Kitchen_Reward_6900.pkl
Step 6910, loss -6.2830
Step 6920, loss -6.2566
Step 6930, loss -6.2937
Step 6940, loss -6.2752
Step 6950, loss -6.2554
Step 6960, loss -6.2639
Step 6970, loss -6.3150
Step 6980, loss -6.2552
Step 6990, loss -6.2314
Step 7000, loss -6.2694
reward model save to Kitchen_Reward_7000.pkl
Step 7010, loss -6.2645
Step 7020, loss -6.2628
Step 7030, loss -6.2884
Step 7040, loss -6.2677
Step 7050, loss -6.3022
Step 7060, loss -6.2670
Step 7070, loss -6.2756
Step 7080, loss -6.2492
Step 7090, loss -6.2778
Step 7100, loss -6.2765
reward model save to Kitchen_Reward_7100.pkl
Step 7110, loss -6.2941
Step 7120, loss -6.2559
Step 7130, loss -6.2817
Step 7140, loss -6.2982
Step 7150, loss -6.2887
Step 7160, loss -6.2884
Step 7170, loss -6.2609
Step 7180, loss -6.3093
Step 7190, loss -6.2845
Step 7200, loss -6.2596
reward model save to Kitchen_Reward_7200.pkl
Step 7210, loss -6.2392
Step 7220, loss -6.2438
Step 7230, loss -6.2951
Step 7240, loss -6.3225
Step 7250, loss -6.2798
Step 7260, loss -6.3204
Step 7270, loss -6.3062
Step 7280, loss -6.2858
Step 7290, loss -6.2342
Step 7300, loss -6.2977
reward model save to Kitchen_Reward_7300.pkl
Step 7310, loss -6.2757
Step 7320, loss -6.3227
Step 7330, loss -6.2983
Step 7340, loss -6.2806
Step 7350, loss -6.2936
Step 7360, loss -6.2811
Step 7370, loss -6.2856
Step 7380, loss -6.2882
Step 7390, loss -6.3119
Step 7400, loss -6.2733
reward model save to Kitchen_Reward_7400.pkl
Step 7410, loss -6.3018
Step 7420, loss -6.3063
Step 7430, loss -6.3112
Step 7440, loss -6.3165
Step 7450, loss -6.2829
Step 7460, loss -6.2993
Step 7470, loss -6.2956
Step 7480, loss -6.3019
Step 7490, loss -6.2955
Step 7500, loss -6.3346
reward model save to Kitchen_Reward_7500.pkl
Step 7510, loss -6.3091
Step 7520, loss -6.2854
Step 7530, loss -6.2807
Step 7540, loss -6.2710
Step 7550, loss -6.3113
Step 7560, loss -6.3257
Step 7570, loss -6.2871
Step 7580, loss -6.2975
Step 7590, loss -6.2798
Step 7600, loss -6.3250
reward model save to Kitchen_Reward_7600.pkl
Step 7610, loss -6.3408
Step 7620, loss -6.3158
Step 7630, loss -6.3268
Step 7640, loss -6.3145
Step 7650, loss -6.3080
Step 7660, loss -6.3108
Step 7670, loss -6.3391
Step 7680, loss -6.3287
Step 7690, loss -6.2787
Step 7700, loss -6.3122
reward model save to Kitchen_Reward_7700.pkl
Step 7710, loss -6.3295
Step 7720, loss -6.3009
Step 7730, loss -6.3204
Step 7740, loss -6.3059
Step 7750, loss -6.2823
Step 7760, loss -6.3166
Step 7770, loss -6.3112
Step 7780, loss -6.3126
Step 7790, loss -6.3392
Step 7800, loss -6.3114
reward model save to Kitchen_Reward_7800.pkl
Step 7810, loss -6.3141
Step 7820, loss -6.3301
Step 7830, loss -6.3408
Step 7840, loss -6.3273
Step 7850, loss -6.3304
Step 7860, loss -6.2686
Step 7870, loss -6.3196
Step 7880, loss -6.3213
Step 7890, loss -6.2983
Step 7900, loss -6.3366
reward model save to Kitchen_Reward_7900.pkl
Step 7910, loss -6.3316
Step 7920, loss -6.3222
Step 7930, loss -6.3399
Step 7940, loss -6.2847
Step 7950, loss -6.3202
Step 7960, loss -6.3342
Step 7970, loss -6.3482
Step 7980, loss -6.3279
Step 7990, loss -6.3123
Step 8000, loss -6.3111
reward model save to Kitchen_Reward_8000.pkl
Step 8010, loss -6.3332
Step 8020, loss -6.3194
Step 8030, loss -6.3146
Step 8040, loss -6.3417
Step 8050, loss -6.3048
Step 8060, loss -6.3193
Step 8070, loss -6.3529
Step 8080, loss -6.3320
Step 8090, loss -6.3400
Step 8100, loss -6.3041
reward model save to Kitchen_Reward_8100.pkl
Step 8110, loss -6.3475
Step 8120, loss -6.3384
Step 8130, loss -6.3215
Step 8140, loss -6.3523
Step 8150, loss -6.3412
Step 8160, loss -6.3338
Step 8170, loss -6.3378
Step 8180, loss -6.3468
Step 8190, loss -6.3167
Step 8200, loss -6.3305
reward model save to Kitchen_Reward_8200.pkl
Step 8210, loss -6.3431
Step 8220, loss -6.3551
Step 8230, loss -6.3184
Step 8240, loss -6.3433
Step 8250, loss -6.3234
Step 8260, loss -6.3339
Step 8270, loss -6.3424
Step 8280, loss -6.3335
Step 8290, loss -6.3359
Step 8300, loss -6.3287
