Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 5480, loss -95.8760
Step 5490, loss -94.7172
Step 5500, loss -99.1709
Step 5510, loss -97.2211
Step 5520, loss -98.0718
Step 5530, loss -96.8191
Step 5540, loss -98.2349
Step 5550, loss -96.1274
Step 5560, loss -97.9368
Step 5570, loss -97.0816
Step 5580, loss -94.7393
Step 5590, loss -99.2177
Step 5600, loss -97.4634
Step 5610, loss -95.8264
Step 5620, loss -97.1032
Step 5630, loss -97.8446
Step 5640, loss -97.0522
Step 5650, loss -98.4814
Step 5660, loss -93.9024
Step 5670, loss -98.0561
Step 5680, loss -99.8546
Step 5690, loss -98.8279
Step 5700, loss -96.3304
Step 5710, loss -99.0417
Step 5720, loss -99.1602
Step 5730, loss -97.9475
Step 5740, loss -98.8841
Step 5750, loss -98.9816
Step 5760, loss -96.9833
Step 5770, loss -96.9488
Step 5780, loss -100.6743
Step 5790, loss -100.6573
Step 5800, loss -95.8737
Step 5810, loss -100.1322
Step 5820, loss -100.1129
Step 5830, loss -99.4197
Step 5840, loss -97.3349
Step 5850, loss -100.4269
Step 5860, loss -100.2096
Step 5870, loss -102.6060
Step 5880, loss -99.9152
Step 5890, loss -97.4109
Step 5900, loss -99.7837
Step 5910, loss -100.6851
Step 5920, loss -94.5989
Step 5930, loss -100.1566
Step 5940, loss -101.6189
Step 5950, loss -99.0828
Step 5960, loss -101.7750
Step 5970, loss -102.8998
Step 5980, loss -97.9702
Step 5990, loss -97.3147
Step 6000, loss -97.9943
Step 6010, loss -100.4404
Step 6020, loss -100.2457
Step 6030, loss -103.8456
Step 6040, loss -102.4019
Step 6050, loss -94.9380
Step 6060, loss -97.6075
Step 6070, loss -101.1865
Step 6080, loss -100.4655
Step 6090, loss -101.4706
Step 6100, loss -101.1753
Step 6110, loss -99.5809
Step 6120, loss -101.4954
Step 6130, loss -102.5953
Step 6140, loss -102.5375
Step 6150, loss -97.4827
Step 6160, loss -100.2944
Step 6170, loss -104.6982
Step 6180, loss -103.9444
